Player,Team,POS,xG,xTC,xTP,PPAS,PCRY,PBX,PRCV,PASS,PC%,HDA,TKLA,TKL%,AERA,AER%
Frenkie de Jong,Barcelona,MID,0.09,0.18,0.18,5.27,2.77,0.14,4.26,79.92,94.8,1.82,2.03,72.4,1.12,56.3
Diego Rico,Getafe,DEF,0.01,0.18,0.09,3.48,0.36,0.11,1.05,44.9,67.5,0.49,3.16,70.9,1.29,57.8
Dani Ceballos,Real Madrid,MID,0.02,0.18,0.18,5.99,2.63,0.07,4.3,92.45,94.4,1.84,4.15,67.2,0.2,66.7
Nicolas Pépé,Villarreal,ATT,0.26,0.18,0.11,2.12,2.1,1.46,5.4,34.1,79.3,1.67,1.67,67.7,1.78,45.5
Dani Raba,Leganes,ATT,0.16,0.17,0.09,2.19,1.04,0.35,3.68,28.63,67.3,2.96,2.7,60.7,0.88,25
Fermín López,Barcelona,ATT,0.3,0.17,0.12,2.68,1.38,0.75,5.44,42.39,82.1,3.33,2.76,43.2,1.57,40
Raúl Moro,Real Valladolid,ATT,0.18,0.17,0.07,2.27,2.58,1.96,3.49,27.81,64.8,0.87,1.4,55,0.8,30.4
Yáser Asprilla,Girona,ATT,0.11,0.16,0.1,2.74,2.31,1.38,3.8,37.24,72.2,1.61,2.01,62.9,0.4,57.1
Iván Sánchez,Real Valladolid,ATT,0.03,0.16,0.07,2.81,2.21,0.51,2.46,33.4,70.8,1.58,3.06,70.4,1.25,50
Jules Koundé,Barcelona,DEF,0.06,0.16,0.13,4.05,1.04,0.13,3,67.08,86.5,1.32,2.67,75.3,1.67,56.6
Vinícius Júnior,Real Madrid,ATT,0.36,0.16,0.13,2.45,4.27,3.8,5.31,33.58,74.8,2.94,1.3,60,0.22,0
Antony,Real Betis,ATT,0.18,0.16,0.12,3.13,3.71,1.86,4.76,46.11,81.4,1.98,2.4,62.5,1.08,22.2
Pablo Fornals,Real Betis,MID,0.07,0.16,0.11,3.92,0.99,0.23,3.73,50.11,80.2,1.67,1.72,52.6,1.76,46.1
Antoine Griezmann,Atletico,ATT,0.21,0.16,0.12,2.88,1.15,0.2,5.56,48.81,75,1.17,1.71,56.9,1.44,44.2
Iñigo Martínez,Barcelona,DEF,0.03,0.16,0.16,6.39,2.95,0,1.89,79.73,91,0.29,1.01,80.7,2.91,62.9
Joan Jordán,Deportivo Alaves,MID,0.07,0.16,0.1,3.57,0.57,0,2.2,52.13,75,1.32,2.58,71.1,1.66,55.2
Rubén García,Osasuna,ATT,0.09,0.16,0.07,2.52,0.82,0.45,4.47,42.23,74.4,2.02,2.96,60,2.19,46
Sergi Cardona,Villarreal,DEF,0.08,0.16,0.08,3.03,0.83,0.19,2.33,40.4,77.6,0.61,2.78,70,1.78,56.3
Íñigo Ruíz de Galarreta,Athletic Club,MID,0.03,0.16,0.12,3.58,0.88,0.17,3.18,48.11,81.3,2.29,2.69,76.6,1.09,36.8
